 written on 28Mar2021 at 14:26:50 
          28
          81
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1
   -5   -3    0    1    1    0.000024   -0.000036
   -5   -3    0    2    1    0.000003   -0.000036
   -5   -3    0    3    1    0.000301    0.000049
   -5   -3    0    4    1    0.000006    0.000037
   -5   -3    0    5    1   -0.000122    0.000010
   -5   -3    0    6    1   -0.000014   -0.000028
   -5   -3    0    7    1    0.000066    0.000031
   -5   -3    0    8    1   -0.000000    0.000004
   -5   -3    0    9    1    0.000277    0.000034
   -5   -3    0   10    1   -0.000034    0.000001
   -5   -3    0   11    1   -0.000170   -0.000033
   -5   -3    0   12    1   -0.000008    0.000004
   -5   -3    0   13    1   -0.000374   -0.000050
   -5   -3    0   14    1   -0.000026    0.000045
   -5   -3    0   15    1    0.000225    0.000000
   -5   -3    0   16    1   -0.000073    0.000022
   -5   -3    0   17    1    0.000359    0.000029
   -5   -3    0   18    1   -0.000013    0.000037
   -5   -3    0   19    1   -0.000336   -0.000065
   -5   -3    0   20    1   -0.000061   -0.000004
   -5   -3    0   21    1   -0.000511   -0.000025
   -5   -3    0   22    1   -0.000051   -0.000032
   -5   -3    0   23    1    0.000019   -0.000030
   -5   -3    0   24    1   -0.000015    0.000028
   -5   -3    0   25    1   -0.000012   -0.000011
   -5   -3    0   26    1   -0.000105   -0.000037
   -5   -3    0   27    1    0.000260    0.000063
   -5   -3    0   28    1    0.000035   -0.000054
   -5   -3    0    1    2   -0.000003   -0.000036
   -5   -3    0    2    2    0.000024    0.000036
   -5   -3    0    3    2   -0.000006    0.000037
   -5   -3    0    4    2    0.000301   -0.000049
   -5   -3    0    5    2    0.000014   -0.000028
   -5   -3    0    6    2   -0.000122   -0.000010
   -5   -3    0    7    2    0.000000    0.000004
   -5   -3    0    8    2    0.000066   -0.000031
   -5   -3    0    9    2    0.000034    0.000001
   -5   -3    0   10    2    0.000277   -0.000034
   -5   -3    0   11    2    0.000008    0.000004
   -5   -3    0   12    2   -0.000170    0.000033
   -5   -3    0   13    2    0.000026    0.000045
   -5   -3    0   14    2   -0.000374    0.000050
   -5   -3    0   15    2    0.000073    0.000022
   -5   -3    0   16    2    0.000225   -0.000000
   -5   -3    0   17    2    0.000013    0.000037
   -5   -3    0   18    2    0.000359   -0.000029
   -5   -3    0   19    2    0.000061   -0.000004
   -5   -3    0   20    2   -0.000336    0.000065
   -5   -3    0   21    2    0.000051   -0.000032
   -5   -3    0   22    2   -0.000511    0.000025
   -5   -3    0   23    2    0.000015    0.000028
   -5   -3    0   24    2    0.000019    0.000030
   -5   -3    0   25    2    0.000105   -0.000037
   -5   -3    0   26    2   -0.000012    0.000011
   -5   -3    0   27    2   -0.000035   -0.000054
   -5   -3    0   28    2    0.000260   -0.000063
   -5   -3    0    1    3   -0.000202   -0.000027
   -5   -3    0    2    3    0.000039    0.000011
   -5   -3    0    3    3    0.000061   -0.000105
   -5   -3    0    4    3    0.000022    0.000032
   -5   -3    0    5    3    0.000250    0.000054
   -5   -3    0    6    3    0.000039    0.000004
   -5   -3    0    7    3    0.000265   -0.000089
   -5   -3    0    8    3    0.000028   -0.000061
   -5   -3    0    9    3    0.000326    0.000081
   -5   -3    0   10    3    0.000010   -0.000000
   -5   -3    0   11    3    0.000183    0.000046
   -5   -3    0   12    3   -0.000014   -0.000013
   -5   -3    0   13    3   -0.000289   -0.000019
   -5   -3    0   14    3    0.000023    0.000015
   -5   -3    0   15    3    0.000013    0.000011
   -5   -3    0   16    3   -0.000015   -0.000004
   -5   -3    0   17    3    0.000389   -0.000155
   -5   -3    0   18    3   -0.000070   -0.000065
   -5   -3    0   19    3   -0.000117    0.000050
   -5   -3    0   20    3    0.000040    0.000005
   -5   -3    0   21    3   -0.000354    0.000029
   -5   -3    0   22    3    0.000001   -0.000008
   -5   -3    0   23    3    0.000098    0.000004
   -5   -3    0   24    3    0.000006    0.000065
   -5   -3    0   25    3    0.000717   -0.000015
   -5   -3    0   26    3    0.000033   -0.000069
   -5   -3    0   27    3    0.000599   -0.000029
   -5   -3    0   28    3    0.000020   -0.000020
   -5   -3    0    1    4   -0.000039    0.000011
   -5   -3    0    2    4   -0.000202    0.000027
   -5   -3    0    3    4   -0.000022    0.000032
   -5   -3    0    4    4    0.000061    0.000105
   -5   -3    0    5    4   -0.000039    0.000004
   -5   -3    0    6    4    0.000250   -0.000054
   -5   -3    0    7    4   -0.000028   -0.000061
   -5   -3    0    8    4    0.000265    0.000089
   -5   -3    0    9    4   -0.000010   -0.000000
   -5   -3    0   10    4    0.000326   -0.000081
   -5   -3    0   11    4    0.000014   -0.000013
   -5   -3    0   12    4    0.000183   -0.000046
   -5   -3    0   13    4   -0.000023    0.000015
   -5   -3    0   14    4   -0.000289    0.000019
   -5   -3    0   15    4    0.000015   -0.000004
   -5   -3    0   16    4    0.000013   -0.000011
   -5   -3    0   17    4    0.000070   -0.000065
   -5   -3    0   18    4    0.000389    0.000155
   -5   -3    0   19    4   -0.000040    0.000005
   -5   -3    0   20    4   -0.000117   -0.000050
   -5   -3    0   21    4   -0.000001   -0.000008
   -5   -3    0   22    4   -0.000354   -0.000029
   -5   -3    0   23    4   -0.000006    0.000065
   -5   -3    0   24    4    0.000098   -0.000004
   -5   -3    0   25    4   -0.000033   -0.000069
   -5   -3    0   26    4    0.000717    0.000015
   -5   -3    0   27    4   -0.000020   -0.000020
   -5   -3    0   28    4    0.000599    0.000029
   -5   -3    0    1    5    0.000230    0.000009
   -5   -3    0    2    5   -0.000072   -0.000018
   -5   -3    0    3    5   -0.000004    0.000002
   -5   -3    0    4    5    0.000001    0.000033
   -5   -3    0    5    5   -0.000096   -0.000038
   -5   -3    0    6    5   -0.000036   -0.000016
   -5   -3    0    7    5   -0.000127    0.000170
   -5   -3    0    8    5   -0.000060    0.000046
   -5   -3    0    9    5   -0.000056    0.000011
   -5   -3    0   10    5    0.000011    0.000079
   -5   -3    0   11    5    0.000338   -0.000075
   -5   -3    0   12    5   -0.000006   -0.000018
   -5   -3    0   13    5   -0.000077   -0.000067
   -5   -3    0   14    5    0.000020   -0.000006
   -5   -3    0   15    5   -0.000446   -0.000148
   -5   -3    0   16    5    0.000071    0.000105
   -5   -3    0   17    5    0.000282   -0.000011
   -5   -3    0   18    5   -0.000055   -0.000038
   -5   -3    0   19    5    0.000267   -0.000048
   -5   -3    0   20    5   -0.000023   -0.000032
   -5   -3    0   21    5    0.000156   -0.000049
   -5   -3    0   22    5   -0.000047   -0.000099
   -5   -3    0   23    5   -0.000008   -0.000062
   -5   -3    0   24    5   -0.000010    0.000019
   -5   -3    0   25    5   -0.000197    0.000006
   -5   -3    0   26    5   -0.000065    0.000113
   -5   -3    0   27    5   -0.000042    0.000115
   -5   -3    0   28    5   -0.000057    0.000070
   -5   -3    0    1    6    0.000072   -0.000018
   -5   -3    0    2    6    0.000230   -0.000009
   -5   -3    0    3    6   -0.000001    0.000033
   -5   -3    0    4    6   -0.000004   -0.000002
   -5   -3    0    5    6    0.000036   -0.000016
   -5   -3    0    6    6   -0.000096    0.000038
   -5   -3    0    7    6    0.000060    0.000046
   -5   -3    0    8    6   -0.000127   -0.000170
   -5   -3    0    9    6   -0.000011    0.000079
   -5   -3    0   10    6   -0.000056   -0.000011
   -5   -3    0   11    6    0.000006   -0.000018
   -5   -3    0   12    6    0.000338    0.000075
   -5   -3    0   13    6   -0.000020   -0.000006
   -5   -3    0   14    6   -0.000077    0.000067
   -5   -3    0   15    6   -0.000071    0.000105
   -5   -3    0   16    6   -0.000446    0.000148
   -5   -3    0   17    6    0.000055   -0.000038
   -5   -3    0   18    6    0.000282    0.000011
   -5   -3    0   19    6    0.000023   -0.000032
   -5   -3    0   20    6    0.000267    0.000048
   -5   -3    0   21    6    0.000047   -0.000099
   -5   -3    0   22    6    0.000156    0.000049
   -5   -3    0   23    6    0.000010    0.000019
   -5   -3    0   24    6   -0.000008    0.000062
   -5   -3    0   25    6    0.000065    0.000113
   -5   -3    0   26    6   -0.000197   -0.000006
   -5   -3    0   27    6    0.000057    0.000070
   -5   -3    0   28    6   -0.000042   -0.000115
   -5   -3    0    1    7    0.000090    0.000033
   -5   -3    0    2    7   -0.000056   -0.000060
   -5   -3    0    3    7    0.000450    0.000029
   -5   -3    0    4    7    0.000076   -0.000011
   -5   -3    0    5    7   -0.000194    0.000204
   -5   -3    0    6    7    0.000006   -0.000048
   -5   -3    0    7    7    0.000348    0.000038
   -5   -3    0    8    7    0.000041    0.000051
   -5   -3    0    9    7    0.000024    0.000025
   -5   -3    0   10    7    0.000030    0.000045
   -5   -3    0   11    7   -0.001415   -0.000062
   -5   -3    0   12    7    0.000001    0.000014
   -5   -3    0   13    7   -0.002624   -0.000097
   -5   -3    0   14    7    0.000062    0.000034
   -5   -3    0   15    7   -0.000212    0.000015
   -5   -3    0   16    7    0.000051    0.000057
   -5   -3    0   17    7    0.000201    0.000014
   -5   -3    0   18    7    0.000074    0.000044
   -5   -3    0   19    7   -0.000555   -0.000048
   -5   -3    0   20    7   -0.000036   -0.000046
   -5   -3    0   21    7   -0.000991   -0.000047
   -5   -3    0   22    7    0.000082    0.000051
   -5   -3    0   23    7    0.000026   -0.000117
   -5   -3    0   24    7    0.000060   -0.000065
   -5   -3    0   25    7   -0.000135   -0.000080
   -5   -3    0   26    7    0.000019    0.000014
   -5   -3    0   27    7    0.003741    0.000180
   -5   -3    0   28    7    0.000038   -0.000020
   -5   -3    0    1    8    0.000056   -0.000060
   -5   -3    0    2    8    0.000090   -0.000033
   -5   -3    0    3    8   -0.000076   -0.000011
   -5   -3    0    4    8    0.000450   -0.000029
   -5   -3    0    5    8   -0.000006   -0.000048
   -5   -3    0    6    8   -0.000194   -0.000204
   -5   -3    0    7    8   -0.000041    0.000051
   -5   -3    0    8    8    0.000348   -0.000038
   -5   -3    0    9    8   -0.000030    0.000045
   -5   -3    0   10    8    0.000024   -0.000025
   -5   -3    0   11    8   -0.000001    0.000014
   -5   -3    0   12    8   -0.001415    0.000062
   -5   -3    0   13    8   -0.000062    0.000034
   -5   -3    0   14    8   -0.002624    0.000097
   -5   -3    0   15    8   -0.000051    0.000057
   -5   -3    0   16    8   -0.000212   -0.000015
   -5   -3    0   17    8   -0.000074    0.000044
   -5   -3    0   18    8    0.000201   -0.000014
   -5   -3    0   19    8    0.000036   -0.000046
   -5   -3    0   20    8   -0.000555    0.000048
   -5   -3    0   21    8   -0.000082    0.000051
   -5   -3    0   22    8   -0.000991    0.000047
   -5   -3    0   23    8   -0.000060   -0.000065
   -5   -3    0   24    8    0.000026    0.000117
   -5   -3    0   25    8   -0.000019    0.000014
   -5   -3    0   26    8   -0.000135    0.000080
   -5   -3    0   27    8   -0.000038   -0.000020
   -5   -3    0   28    8    0.003741   -0.000180
   -5   -3    0    1    9    0.000144   -0.000018
   -5   -3    0    2    9    0.000051   -0.000073
   -5   -3    0    3    9    0.000238    0.000019
   -5   -3    0    4    9    0.000055   -0.000016
   -5   -3    0    5    9    0.000051   -0.000001
   -5   -3    0    6    9    0.000019    0.000080
   -5   -3    0    7    9    0.000558    0.000030
   -5   -3    0    8    9    0.000008   -0.000065
   -5   -3    0    9    9   -0.000322   -0.000000
   -5   -3    0   10    9    0.000008   -0.000012
   -5   -3    0   11    9   -0.000628   -0.000025
   -5   -3    0   12    9    0.000024    0.000039
   -5   -3    0   13    9   -0.000766    0.000073
   -5   -3    0   14    9   -0.000042   -0.000003
   -5   -3    0   15    9   -0.000366    0.000069
   -5   -3    0   16    9   -0.000090    0.000003
   -5   -3    0   17    9    0.000669    0.000127
   -5   -3    0   18    9    0.000032   -0.000028
   -5   -3    0   19    9   -0.000048   -0.000000
   -5   -3    0   20    9   -0.000024    0.000008
   -5   -3    0   21    9   -0.000079   -0.000059
   -5   -3    0   22    9   -0.000063    0.000006
   -5   -3    0   23    9   -0.000498    0.000015
   -5   -3    0   24    9   -0.000009   -0.000022
   -5   -3    0   25    9   -0.000355    0.000029
   -5   -3    0   26    9   -0.000045    0.000074
   -5   -3    0   27    9    0.001458   -0.000068
   -5   -3    0   28    9    0.000041   -0.000008
   -5   -3    0    1   10   -0.000051   -0.000073
   -5   -3    0    2   10    0.000144    0.000018
   -5   -3    0    3   10   -0.000055   -0.000016
   -5   -3    0    4   10    0.000238   -0.000019
   -5   -3    0    5   10   -0.000019    0.000080
   -5   -3    0    6   10    0.000051    0.000001
   -5   -3    0    7   10   -0.000008   -0.000065
   -5   -3    0    8   10    0.000558   -0.000030
   -5   -3    0    9   10   -0.000008   -0.000012
   -5   -3    0   10   10   -0.000322    0.000000
   -5   -3    0   11   10   -0.000024    0.000039
   -5   -3    0   12   10   -0.000628    0.000025
