# Conductivity tensor/tau (in unit of (\Omega*m*s)^-1) for every contributing band
# SELECTEDBANDS  =     39   40
# Tlist  =    20.000  30.000  40.000  50.000
# Btaulist  =      0.000000E+00    0.100000E-01    0.200000E-01    0.300000E-01    0.400000E-01    0.500000E-01    0.600000E-01    0.700000E-01    0.800000E-01    0.900000E-01    0.100000E+00    0.110000E+00    0.120000E+00    0.130000E+00    0.140000E+00    0.150000E+00    0.160000E+00    0.170000E+00    0.180000E+00    0.190000E+00    0.200000E+00    0.210000E+00    0.220000E+00    0.230000E+00    0.240000E+00    0.250000E+00    0.260000E+00    0.270000E+00    0.280000E+00    0.290000E+00    0.300000E+00    0.310000E+00    0.320000E+00    0.330000E+00    0.340000E+00    0.350000E+00    0.360000E+00    0.370000E+00    0.380000E+00    0.390000E+00    0.400000E+00    0.410000E+00    0.420000E+00    0.430000E+00    0.440000E+00    0.450000E+00    0.460000E+00    0.470000E+00    0.480000E+00    0.490000E+00    0.500000E+00    0.510000E+00    0.520000E+00    0.530000E+00    0.540000E+00    0.550000E+00    0.560000E+00    0.570000E+00    0.580000E+00    0.590000E+00    0.600000E+00    0.610000E+00    0.620000E+00    0.630000E+00    0.640000E+00    0.650000E+00    0.660000E+00    0.670000E+00    0.680000E+00    0.690000E+00    0.700000E+00    0.710000E+00    0.720000E+00    0.730000E+00    0.740000E+00    0.750000E+00    0.760000E+00    0.770000E+00    0.780000E+00    0.790000E+00    0.800000E+00    0.810000E+00    0.820000E+00    0.830000E+00    0.840000E+00    0.850000E+00    0.860000E+00    0.870000E+00    0.880000E+00    0.890000E+00    0.900000E+00    0.910000E+00    0.920000E+00    0.930000E+00    0.940000E+00    0.950000E+00    0.960000E+00    0.970000E+00    0.980000E+00    0.990000E+00    0.100000E+01
#  iband =    39

# T =          20.0000 K
# Column    1               2               3               4               5               6               7               8               9              10
#     BTau (T.ps)              xx              xy              xz              yx              yy              yz              zx              zy              zz
    0.000000E+00    0.102227E+20    0.206876E+04    0.276864E+03    0.190060E+04    0.102227E+20   -0.410858E+04    0.276864E+03   -0.410858E+04    0.111549E+20
    0.100000E-01    0.102230E+20    0.263216E+17    0.292155E+03   -0.263216E+17    0.102230E+20   -0.409581E+04    0.311461E+03   -0.410343E+04    0.111533E+20
    0.200000E-01    0.102231E+20    0.526445E+17    0.295220E+03   -0.526445E+17    0.102231E+20   -0.412290E+04    0.322465E+03   -0.408986E+04    0.111516E+20
    0.300000E-01    0.102228E+20    0.789618E+17    0.305163E+03   -0.789618E+17    0.102228E+20   -0.411489E+04    0.341118E+03   -0.409673E+04    0.111498E+20
    0.400000E-01    0.102223E+20    0.105268E+18    0.301344E+03   -0.105268E+18    0.102223E+20   -0.410522E+04    0.349378E+03   -0.409382E+04    0.111479E+20
    0.500000E-01    0.102215E+20    0.131557E+18    0.289740E+03   -0.131557E+18    0.102215E+20   -0.412606E+04    0.375439E+03   -0.409398E+04    0.111460E+20
    0.600000E-01    0.102205E+20    0.157824E+18    0.315606E+03   -0.157824E+18    0.102205E+20   -0.405872E+04    0.407585E+03   -0.406621E+04    0.111440E+20
    0.700000E-01    0.102191E+20    0.184063E+18    0.296209E+03   -0.184063E+18    0.102191E+20   -0.408883E+04    0.399165E+03   -0.405502E+04    0.111420E+20
    0.800000E-01    0.102175E+20    0.210271E+18    0.245977E+03   -0.210271E+18    0.102175E+20   -0.411762E+04    0.386733E+03   -0.404715E+04    0.111399E+20
    0.900000E-01    0.102156E+20    0.236443E+18    0.244180E+03   -0.236443E+18    0.102156E+20   -0.406869E+04    0.441849E+03   -0.405228E+04    0.111377E+20
    0.100000E+00    0.102135E+20    0.262575E+18    0.248614E+03   -0.262575E+18    0.102135E+20   -0.406337E+04    0.444649E+03   -0.404084E+04    0.111354E+20
