# Conductivity tensor/tau (in unit of (\Omega*m*s)^-1) for every contributing band
# SELECTEDBANDS  =     39   40
# Tlist  =    20.000  30.000  40.000  50.000
# Btaulist  =      0.000000E+00    0.100000E+00    0.200000E+00    0.300000E+00    0.400000E+00    0.500000E+00    0.600000E+00    0.700000E+00    0.800000E+00    0.900000E+00    0.100000E+01    0.110000E+01    0.120000E+01    0.130000E+01    0.140000E+01    0.150000E+01    0.160000E+01    0.170000E+01    0.180000E+01    0.190000E+01    0.200000E+01    0.210000E+01    0.220000E+01    0.230000E+01    0.240000E+01    0.250000E+01    0.260000E+01    0.270000E+01    0.280000E+01    0.290000E+01    0.300000E+01    0.310000E+01    0.320000E+01    0.330000E+01    0.340000E+01    0.350000E+01    0.360000E+01    0.370000E+01    0.380000E+01    0.390000E+01    0.400000E+01    0.410000E+01    0.420000E+01    0.430000E+01    0.440000E+01    0.450000E+01    0.460000E+01    0.470000E+01    0.480000E+01    0.490000E+01    0.500000E+01    0.510000E+01    0.520000E+01    0.530000E+01    0.540000E+01    0.550000E+01    0.560000E+01    0.570000E+01    0.580000E+01    0.590000E+01    0.600000E+01    0.610000E+01    0.620000E+01    0.630000E+01    0.640000E+01    0.650000E+01    0.660000E+01    0.670000E+01    0.680000E+01    0.690000E+01    0.700000E+01    0.710000E+01    0.720000E+01    0.730000E+01    0.740000E+01    0.750000E+01    0.760000E+01    0.770000E+01    0.780000E+01    0.790000E+01    0.800000E+01    0.810000E+01    0.820000E+01    0.830000E+01    0.840000E+01    0.850000E+01    0.860000E+01    0.870000E+01    0.880000E+01    0.890000E+01    0.900000E+01    0.910000E+01    0.920000E+01    0.930000E+01    0.940000E+01    0.950000E+01    0.960000E+01    0.970000E+01    0.980000E+01    0.990000E+01    0.100000E+02
#  iband =    39

# T =          20.0000 K
# Column    1               2               3               4               5               6               7               8               9              10
#     BTau (T.ps)              xx              xy              xz              yx              yy              yz              zx              zy              zz
    0.000000E+00    0.102227E+20    0.206876E+04    0.276864E+03    0.190060E+04    0.102227E+20   -0.410858E+04    0.276864E+03   -0.410858E+04    0.111549E+20
    0.100000E+00    0.102135E+20    0.262575E+18    0.241477E+03   -0.262575E+18    0.102135E+20   -0.414149E+04    0.404402E+03   -0.405589E+04    0.111354E+20
    0.200000E+00    0.101770E+20    0.520854E+18    0.260429E+03   -0.520854E+18    0.101770E+20   -0.400989E+04    0.574021E+03   -0.396415E+04    0.111096E+20
    0.300000E+00    0.101145E+20    0.771234E+18    0.219866E+03   -0.771234E+18    0.101145E+20   -0.399892E+04    0.714437E+03   -0.383996E+04    0.110782E+20
    0.400000E+00    0.100282E+20    0.101077E+19    0.142829E+03   -0.101077E+19    0.100282E+20   -0.400328E+04    0.844387E+03   -0.374097E+04    0.110420E+20
    0.500000E+00    0.992108E+19    0.123705E+19    0.139054E+03   -0.123705E+19    0.992108E+19   -0.388626E+04    0.959954E+03   -0.351451E+04    0.110017E+20
    0.600000E+00    0.979637E+19    0.144829E+19    0.851302E+02   -0.144829E+19    0.979637E+19   -0.391152E+04    0.105538E+04   -0.342178E+04    0.109581E+20
    0.700000E+00    0.965760E+19    0.164347E+19    0.353104E+02   -0.164347E+19    0.965760E+19   -0.389091E+04    0.115806E+04   -0.327278E+04    0.109115E+20
    0.800000E+00    0.950815E+19    0.182234E+19    0.813546E+01   -0.182234E+19    0.950815E+19   -0.382315E+04    0.119197E+04   -0.311364E+04    0.108626E+20
    0.900000E+00    0.935103E+19    0.198528E+19   -0.588089E+02   -0.198528E+19    0.935103E+19   -0.383318E+04    0.127598E+04   -0.297567E+04    0.108117E+20
    0.100000E+01    0.918878E+19    0.213311E+19   -0.240186E+02   -0.213311E+19    0.918878E+19   -0.377877E+04    0.131153E+04   -0.279380E+04    0.107595E+20
